class	representative_genome_id
SZUA-567	GB_GCA_003245715.1
SZUA-79	GB_GCA_003232385.1
Saccharimonadia	GB_GCA_000503915.1
Sericytochromatia	GB_GCA_002083825.1
SpSt-1050	GB_GCA_016218965.1
SpSt-956	GB_GCA_022704525.1
Spirochaetia	GB_GCA_000413015.1
Sulfobacillia	GB_GCA_000237975.1
Sumerlaeia	GB_GCA_002068205.1
Symbiobacteriia	GB_GCA_003242505.1
Synergistia	GB_GCA_000233775.1
Syntrophia	GB_GCA_000747625.2
Syntrophobacteria	GB_GCA_001603845.1
Syntrophomonadia	GB_GCA_001512495.1
Syntrophorhabdia	GB_GCA_001603955.1
Sysuimicrobiia	GB_GCA_001443485.1
T1Sed10-126	GB_GCA_003554945.1
T3Sed10-11	GB_GCA_003560935.1
TC1	GB_GCA_002418765.1
Terriglobia	GB_GCA_000381585.1
Thermaerobacteria	GB_GCA_003242195.1
Thermincolia	GB_GCA_002339745.1
Thermoanaerobacteria	GB_GCA_000747665.1
Thermoanaerobaculia	GB_GCA_001766905.1
Thermodesulfobacteria	GB_GCA_002441555.1
Thermodesulfobiia	GB_GCA_021783475.1
Thermodesulfovibrionia	GB_GCA_001803635.1
Thermoleophilia	GB_GCA_001464275.1
Thermosediminibacteria	GB_GCA_001512695.1
Thermosulfidibacteria	GB_GCA_003648675.1
Thermotogae	GB_GCA_002071085.1
Tritonobacteria	GB_GCA_012729785.1
UBA10030	GB_GCA_001802945.1
UBA1018	GB_GCA_001769805.1
UBA10199	GB_GCA_001797365.1
UBA10988	GB_GCA_002409445.1
UBA11346	GB_GCA_003136555.1
UBA1135	GB_GCA_002311925.1
UBA1144	GB_GCA_001443445.1
UBA1177	GB_GCA_002309575.1
UBA11872	GB_GCA_002433065.1
UBA12135	GB_GCA_003497555.1
UBA1384	GB_GCA_000991185.1
UBA1551	GB_GCA_001871015.1
UBA1874	GB_GCA_002352935.1
UBA2233	GB_GCA_002347965.1
UBA2235	GB_GCA_002347925.1
UBA2242	GB_GCA_002347855.1
UBA2361	GB_GCA_002343185.1
UBA2428	GB_GCA_009991595.1
UBA2968	GB_GCA_002433075.1
UBA3054	GB_GCA_002366995.1
UBA3072	GB_GCA_002215665.1
UBA3073	GB_GCA_002256535.1
UBA3561	GB_GCA_002376005.1
UBA3569	GB_GCA_002375895.1
UBA3575	GB_GCA_004367365.1
UBA4055	GB_GCA_002382735.1
UBA4092	GB_GCA_002428325.1
UBA4733	GB_GCA_023381555.1
UBA4738	GB_GCA_002413185.1
UBA4802	GB_GCA_001829455.1
UBA4820	GB_GCA_002402325.1
UBA4882	GB_GCA_002385625.1
UBA5177	GB_GCA_003244175.1
UBA5214	GB_GCA_002412545.1
UBA5301	GB_GCA_002408345.1
UBA5829	GB_GCA_002431715.1
UBA6077	GB_GCA_002436065.1
UBA6098	GB_GCA_002085385.1
UBA6099	GB_GCA_002069885.1
UBA6191	GB_GCA_002402105.1
UBA6262	GB_GCA_002441095.1
UBA6266	GB_GCA_002440765.1
UBA6624	GB_GCA_002716355.1
UBA6777	GB_GCA_002731275.1
UBA6911	GB_GCA_002451015.1
UBA6919	GB_GCA_002450905.1
UBA727	GB_GCA_002721815.1
UBA7526	GB_GCA_002478245.1
UBA7883	GB_GCA_002500605.1
UBA796	GB_GCA_002296975.1
UBA8108	GB_GCA_002070955.1
UBA8153	GB_GCA_003449495.1
UBA8248	GB_GCA_001790955.1
UBA8468	GB_GCA_002070645.1
UBA8473	GB_GCA_002782605.1
UBA8477	GB_GCA_001872685.1
UBA8481	GB_GCA_002780065.1
UBA8742	GB_GCA_003576915.1
UBA890	GB_GCA_002722645.1
UBA8919	GB_GCA_001800605.1
UBA9042	GB_GCA_002726535.1
UBA9088	GB_GCA_003498085.1
UBA9089	GB_GCA_003485015.1
UBA9160	GB_GCA_002170485.2
UBA9217	GB_GCA_001803705.1
UBA994	GB_GCA_002292025.1
UBA9942	GB_GCA_001804915.1
UBA995	GB_GCA_002291985.1
UBA9980	GB_GCA_001791795.1
Uabimicrobiia	GB_GCA_013359215.1
Vampirovibrionia	GB_GCA_000431315.1
Verrucomicrobiia	GB_GCA_000155695.1
Vicinamibacteria	GB_GCA_001464065.1
Vulcanimicrobiia	GB_GCA_002413145.1
WGA-4E	GB_GCA_000406005.1
WOR-1	GB_GCA_001771365.1
WOR-3	GB_GCA_001303225.1
WTBG01	GB_GCA_013139225.1
WVXT01	GB_GCA_009619095.1
WYAZ01	GB_GCA_011526105.1
XYA12-FULL-58-9	GB_GCA_005801425.1
Xenobia	GB_GCA_002329445.1
YA12-FULL-61-11	GB_GCA_001799195.1
Z-2901	RS_GCF_000012865.1
Zetaproteobacteria	GB_GCA_001871195.1
Zhuqueibacteria	GB_GCA_001771235.1
Zipacnadia	GB_GCA_002305165.1
Zymogenia	GB_GCA_016929395.1
